epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,54.0885,2.85864,5.6945,4.22624,0,0,0,0,3.37633,5.97084,4.16355,2.96935e-05,2.96935e-05,2.96935e-05
47,55.369,2.89566,5.58213,4.3119,0,0,0,0,3.37628,5.97057,4.16366,2.98114e-05,2.98114e-05,2.98114e-05
48,56.4818,3.2232,5.75017,4.23763,0,0,0,0,3.37628,5.97057,4.16366,2.99058e-05,2.99058e-05,2.99058e-05
49,57.5215,2.9857,5.45754,4.23867,0,0,0,0,3.37617,5.97038,4.16374,2.99766e-05,2.99766e-05,2.99766e-05
50,58.5146,3.70859,5.44174,4.19863,0,0,0,0,3.37617,5.97038,4.16374,3.00238e-05,3.00238e-05,3.00238e-05
51,59.5903,3.5296,5.66646,4.27844,0,0,0,0,3.37604,5.97033,4.16384,3.00475e-05,3.00475e-05,3.00475e-05
52,60.6056,3.34963,5.56867,4.27407,0,0,0,0,3.37604,5.97033,4.16384,3.00476e-05,3.00476e-05,3.00476e-05
53,61.6067,3.33137,5.42813,4.19233,0,0,0,0,3.37604,5.97033,4.16384,3.00242e-05,3.00242e-05,3.00242e-05
54,62.6419,3.34126,5.53671,4.22836,0,0,0,0,3.37585,5.97061,4.16398,2.99772e-05,2.99772e-05,2.99772e-05
55,63.619,3.09449,5.65417,4.32178,0,0,0,0,3.37585,5.97061,4.16398,2.99066e-05,2.99066e-05,2.99066e-05
56,64.6371,2.83669,5.28908,4.17896,0,0,0,0,3.37585,5.97061,4.16398,2.98125e-05,2.98125e-05,2.98125e-05
57,65.7493,3.48781,5.70189,4.27675,0,0,0,0,3.37563,5.97078,4.16405,2.96948e-05,2.96948e-05,2.96948e-05
58,66.7549,3.18179,5.49978,4.21458,0,0,0,0,3.37563,5.97078,4.16405,2.95535e-05,2.95535e-05,2.95535e-05
59,67.8708,2.65493,5.60934,4.20596,0,0,0,0,3.37563,5.97078,4.16405,2.93887e-05,2.93887e-05,2.93887e-05
60,68.9009,3.30815,5.55281,4.25699,0,0,0,0,3.3753,5.97065,4.16418,2.92003e-05,2.92003e-05,2.92003e-05
61,69.9181,3.14719,5.36758,4.22864,0,0,0,0,3.3753,5.97065,4.16418,2.89884e-05,2.89884e-05,2.89884e-05
62,70.9349,3.70292,5.58314,4.25035,0,0,0,0,3.3753,5.97065,4.16418,2.87529e-05,2.87529e-05,2.87529e-05
63,72.141,3.71027,5.49171,4.25951,0,0,0,0,3.37501,5.97052,4.16428,2.84938e-05,2.84938e-05,2.84938e-05
64,73.2769,3.27695,5.56317,4.25152,0,0,0,0,3.37501,5.97052,4.16428,2.82112e-05,2.82112e-05,2.82112e-05
65,74.4433,3.12945,5.42031,4.35499,0,0,0,0,3.37501,5.97052,4.16428,2.7905e-05,2.7905e-05,2.7905e-05
66,75.6441,2.66157,5.76955,4.23565,0,0,0,0,3.37467,5.97002,4.16436,2.75753e-05,2.75753e-05,2.75753e-05
67,76.7672,3.47855,5.46094,4.20641,0,0,0,0,3.37467,5.97002,4.16436,2.7222e-05,2.7222e-05,2.7222e-05
68,77.7746,3.22296,5.57674,4.26082,0,0,0,0,3.37467,5.97002,4.16436,2.68451e-05,2.68451e-05,2.68451e-05
69,78.9408,3.04295,5.34742,4.25382,0,0,0,0,3.37434,5.96954,4.16447,2.64447e-05,2.64447e-05,2.64447e-05
70,80.0027,3.29273,5.47259,4.23279,0,0,0,0,3.37434,5.96954,4.16447,2.60207e-05,2.60207e-05,2.60207e-05
